Date,z1_AC1(kW),z1_AC2(kW),z1_AC3(kW),z1_AC4(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-08-20 16:30:00,0.0,0.0,0.0,0.6143333333333333,5.089333333333333,0.6126666666666666,25.235714285714288,54.347142857142856,33.42857142857143,0.2703333333333333,6.481333333333334,0.588,24.60666666666667,56.085,71.93333333333334,0.9696666666666667,0.537,0.35233333333333333,3.008666666666667,0.5693333333333332,23.97576923076923,59.04076923076923,30.923076923076923,0.19733333333333333,2.166,0.885,23.526999999999997,67.56,31.8
2018-08-20 17:00:00,0.0,0.0,0.0,0.07,4.725333333333333,0.4046666666666667,27.065357142857145,54.24571428571429,32.035714285714285,0.0,6.396,0.4646666666666667,26.628333333333334,55.199666666666666,69.93333333333334,0.9979999999999999,0.5346666666666666,0.0,3.014333333333333,0.18400000000000002,25.917666666666666,56.77166666666667,30.033333333333335,0.0,2.0723333333333334,0.48433333333333334,25.470000000000002,64.24666666666667,30.266666666666666
2018-08-20 17:30:00,0.0,0.0,0.0,0.07,4.542333333333334,0.353,28.029999999999998,54.355000000000004,36.6,0.0,6.419333333333333,0.4073333333333334,27.40533333333333,55.175,70.06666666666666,0.6976666666666667,0.5253333333333334,0.0,3.030333333333333,0.14933333333333335,26.7,56.76033333333333,30.5,0.0,2.0206666666666666,0.3283333333333333,26.225357142857142,62.46142857142858,30.392857142857142
2018-08-20 18:00:00,0.0,0.0,0.0,0.069,3.8743333333333334,0.261,28.176,54.80833333333333,42.8,0.0,6.295,0.38699999999999996,27.810333333333332,55.48566666666667,69.43333333333334,0.799,0.513,0.0,2.987,0.394,27.238666666666667,57.243,30.0,0.0,1.9686666666666668,0.3506666666666666,26.575,62.42266666666667,30.0
2018-08-20 18:30:00,0.0,0.0,0.0,0.07,3.6763333333333335,0.21966666666666665,28.231333333333335,55.95066666666666,43.0,0.0,6.352666666666667,0.42266666666666663,28.292857142857144,56.44392857142857,69.96428571428571,0.8723333333333333,0.45866666666666667,0.0,2.997333333333333,0.263,27.397666666666666,57.382333333333335,30.0,0.0,1.977,0.356,26.86888888888889,62.81407407407408,30.0
2018-08-20 19:00:00,0.0,0.0,0.0,0.07,3.5563333333333333,0.238,28.38133333333333,57.077,43.266666666666666,0.0,6.411666666666666,0.353,28.412666666666667,56.98800000000001,71.3,0.7016666666666665,0.5,0.0,2.1606666666666663,0.12200000000000001,27.582,57.98233333333334,14.5,0.0,1.125,0.11666666666666667,27.078333333333333,63.485,15.5
2018-08-20 19:30:00,0.0,0.0,0.0,0.06933333333333333,3.243666666666667,0.11733333333333333,28.510714285714283,58.20357142857143,39.25,0.0,6.397666666666667,0.24033333333333334,28.600357142857142,57.65821428571429,71.85714285714286,0.8379999999999999,0.49599999999999994,0.0,0.897,0.08,27.520333333333333,58.40433333333333,0.0,0.0,0.0,0.021,26.874642857142856,64.975,0.0
2018-08-20 20:00:00,0.0,0.0,0.0,0.06933333333333333,1.4013333333333333,0.06333333333333332,28.568928571428568,58.362857142857145,1.5,0.0,2.2266666666666666,0.10933333333333332,28.65818181818182,59.095454545454544,28.90909090909091,0.18133333333333335,0.33233333333333337,0.0,0.4876666666666667,0.030000000000000002,27.434,59.102,0.0,0.0,0.0,0.021333333333333333,26.782333333333334,65.55033333333333,0.0
2018-08-20 20:30:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.427272727272726,58.47909090909091,0.0,0.0,0.0,0.03266666666666666,28.405357142857145,59.29642857142857,0.0,0.050666666666666665,0.378,0.0,0.0,0.02,27.39,59.58266666666667,0.0,0.0,0.0,0.021333333333333333,26.703,66.09366666666666,0.0
2018-08-20 21:00:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,29.4,56.480000000000004,0.0,0.0,0.0,0.034,28.324,59.428666666666665,0.0,0.10933333333333334,0.3333333333333333,0.0,0.0,0.02,27.35892857142857,60.21714285714285,0.0,0.0,0.0,0.021,26.671666666666667,66.27866666666667,0.0
