timestamp [dd/mm/yyyy HH:MM],ki [%],o1_1 [%],o1_2 [%],o2 [%],o3 [%],o4 [%],mr [%]
2013-11-29 23:00:00,24.825,26.275,27.75,26.35,27.975,28.225,25.150000000000002
2013-11-30 00:00:00,24.5,26.175,27.799999999999997,26.075,27.975,28.35,25.1
2013-11-30 01:00:00,24.55,26.15,27.925,26.25,27.925,27.85,24.975
2013-11-30 02:00:00,24.475,25.925,27.8,25.775,27.8,27.65,24.725
2013-11-30 03:00:00,24.225,25.975,27.25,25.825,27.825,27.375,24.7
2013-11-30 04:00:00,23.974999999999998,25.75,27.275,25.925,27.8,27.5,24.45
2013-11-30 05:00:00,24.5,26.125,27.450000000000003,25.75,27.65,27.475,24.45
2013-11-30 06:00:00,24.425,25.775,27.725,25.625,27.7,27.35,24.55
2013-11-30 07:00:00,24.075,26.05,27.725,25.75,27.8,27.575,24.425
2013-11-30 08:00:00,24.325,25.875,27.0,25.575,27.825,27.8,24.175
2013-11-30 09:00:00,24.225,26.15,27.45,26.025,27.45,27.1,24.125
2013-11-30 10:00:00,24.275,26.025,26.875,26.025,27.6,27.4,23.775
2013-11-30 11:00:00,25.075000000000003,25.375,26.775,25.775,28.325,27.075,23.974999999999998
2013-11-30 12:00:00,24.95,25.625,26.8,25.775,29.3,27.4,23.95
2013-11-30 13:00:00,24.85,25.725,26.725,25.974999999999998,29.375,26.65,23.799999999999997
2013-11-30 14:00:00,25.25,25.575,26.575,25.8,29.5,27.05,24.4
2013-11-30 15:00:00,25.15,25.775,27.3,26.3,28.25,27.5,24.675
2013-11-30 16:00:00,24.825,25.875,27.725,26.05,28.325,27.6,24.3
2013-11-30 17:00:00,24.775,26.174999999999997,27.675,26.7,27.9,27.225,24.7
2013-11-30 18:00:00,25.325,26.35,27.6,27.025000000000002,27.8,27.375,24.425
2013-11-30 19:00:00,25.125,25.9,28.4,26.125,27.875,27.674999999999997,24.200000000000003
2013-11-30 20:00:00,24.8,26.275,27.925,26.25,27.7,27.375,24.175
2013-11-30 21:00:00,24.375,26.025,27.45,25.549999999999997,27.8,27.6,24.2
2013-11-30 22:00:00,24.625,25.775,27.575,25.7,27.7,27.6,23.974999999999998
2013-11-30 23:00:00,23.85,25.5,27.525,25.5,27.65,26.875,24.325000000000003
2013-12-01 00:00:00,23.5,25.625,27.325,25.75,27.725,27.45,24.35
2013-12-01 01:00:00,23.55,25.55,27.4,25.525,27.525,27.35,24.3
2013-12-01 02:00:00,23.775,25.575,26.7,25.6,27.55,27.5,24.2
2013-12-01 03:00:00,23.799999999999997,25.625,26.85,25.5,27.25,27.5,23.9
2013-12-01 04:00:00,23.799999999999997,25.875,26.85,25.625,27.55,26.725,24.3
2013-12-01 05:00:00,24.2,26.0,27.275,25.875,27.5,26.925,24.275
2013-12-01 06:00:00,23.875,26.15,27.3,25.9,27.275000000000002,27.325,23.775
2013-12-01 07:00:00,23.925,25.65,27.6,25.55,27.55,26.925,23.799999999999997
2013-12-01 08:00:00,23.75,25.5,27.0,25.075,27.325000000000003,26.425,24.049999999999997
2013-12-01 09:00:00,23.575,25.525,27.35,25.325,27.025,26.3,23.55
2013-12-01 10:00:00,25.025,25.525,26.075,25.5,27.925,26.725,23.175
2013-12-01 11:00:00,25.45,23.325,26.75,25.725,28.275,27.05,23.775
2013-12-01 12:00:00,25.125,23.45,26.75,25.799999999999997,28.25,26.375,23.849999999999998
2013-12-01 13:00:00,25.075000000000003,24.025,26.7,26.0,27.35,26.2,24.125
2013-12-01 14:00:00,24.075,24.25,26.125,26.025,27.5,25.9,24.3
2013-12-01 15:00:00,23.75,24.225,26.425,26.325,27.725,26.975,23.625
2013-12-01 16:00:00,23.4,25.175,26.775,25.8,27.875,27.1,23.1
2013-12-01 17:00:00,23.925,25.7,27.725,25.7,28.125,26.825,23.5
2013-12-01 18:00:00,24.049999999999997,25.65,27.675,25.55,27.825,27.225,23.525
2013-12-01 19:00:00,24.05,26.1,27.65,25.5,27.95,26.825,23.799999999999997
2013-12-01 20:00:00,23.925,25.725,27.4,25.35,28.325,27.25,23.65
2013-12-01 21:00:00,24.15,25.95,26.975,24.975,28.35,27.5,23.9
2013-12-01 22:00:00,23.6,25.799999999999997,27.5,24.775,28.425,27.225,23.55
2013-12-01 23:00:00,23.175,25.125,27.675,24.7,28.25,26.65,23.849999999999998
2013-12-02 00:00:00,23.5,25.7,27.6,24.95,28.075,26.3,23.575
2013-12-02 01:00:00,23.5,25.475,27.375,25.025,28.075,26.7,23.7
2013-12-02 02:00:00,23.5,25.799999999999997,27.125,25.200000000000003,28.375,27.1,23.5
2013-12-02 03:00:00,23.5,25.875,27.125,25.425,28.4,27.1,23.5
2013-12-02 04:00:00,23.575,25.525,27.200000000000003,25.6,28.275,26.975,23.65
2013-12-02 05:00:00,24.025,25.9,27.3,25.475,28.475,26.55,23.5
2013-12-02 06:00:00,24.15,25.9,27.0,25.4,28.475,26.85,23.525
2013-12-02 07:00:00,23.799999999999997,25.65,26.775,25.3,28.85,26.7,23.5
2013-12-02 08:00:00,24.05,26.275,27.85,25.55,28.375,27.125,23.55
2013-12-02 09:00:00,25.775,27.0,28.925,27.425,28.425,27.05,25.9
2013-12-02 10:00:00,28.9,28.55,30.225,29.225,28.625,28.475,28.375
2013-12-02 11:00:00,30.25,29.5,31.275,31.05,29.05,29.15,26.15
2013-12-02 12:00:00,30.075,29.575,31.375,32.0,29.125,29.325,26.975
2013-12-02 13:00:00,30.25,29.625,31.625,32.025000000000006,29.55,30.05,26.025
2013-12-02 14:00:00,29.0,29.9,31.6,31.8,29.125,29.75,25.125
2013-12-02 15:00:00,29.05,29.525,31.525,30.125,29.475,30.175,25.725
2013-12-02 16:00:00,28.375,29.375,31.349999999999998,29.349999999999998,29.225,29.925,24.925
2013-12-02 17:00:00,27.725,28.95,30.875,29.099999999999998,29.4,29.6,24.925
2013-12-02 18:00:00,27.4,28.4,29.975,27.65,29.3,29.65,25.325
2013-12-02 19:00:00,26.7,28.35,29.575,27.6,29.575,29.775,25.1
2013-12-02 20:00:00,26.2,28.175,29.8,27.45,29.275,29.575,24.975
2013-12-02 21:00:00,26.125,27.75,28.95,26.95,29.5,29.575,24.875
2013-12-02 22:00:00,25.849999999999998,27.150000000000002,28.2,26.6,29.15,28.825,24.725
2013-12-02 23:00:00,25.225,26.85,28.125,26.45,29.299999999999997,28.825,24.3
2013-12-03 00:00:00,24.95,26.45,28.3,26.025,29.5,29.25,24.55
2013-12-03 01:00:00,24.825,26.375,28.025,25.9,29.075,29.25,24.2
2013-12-03 02:00:00,24.45,26.3,28.525000000000002,25.9,28.95,28.95,24.3
2013-12-03 03:00:00,24.525,25.924999999999997,28.15,26.25,29.125,28.175,24.025
2013-12-03 04:00:00,24.2,25.9,27.775,25.924999999999997,28.650000000000002,27.975,24.049999999999997
2013-12-03 05:00:00,24.075,25.9,27.775,25.725,28.6,28.325,23.9
2013-12-03 06:00:00,24.3,25.9,27.425,25.575,28.45,28.225,23.849999999999998
2013-12-03 07:00:00,23.849999999999998,25.525,27.75,25.375,28.475,27.975,23.5
2013-12-03 08:00:00,23.7,25.65,26.975,25.200000000000003,28.425,27.450000000000003,23.3
2013-12-03 09:00:00,26.0,26.5,28.125,26.400000000000002,28.275,27.375,22.85
2013-12-03 10:00:00,28.2,27.4,29.025,28.1,28.125,28.325,22.575
2013-12-03 11:00:00,30.05,29.15,29.6,29.025,28.575000000000003,29.025,22.775
2013-12-03 12:00:00,29.45,28.3,29.725,29.775,28.225,29.4,23.9
